Page,Sentence,Entity,Type
2,"The Appellant/Accused No. 1 was working as Regional
Manager (South) at Chennai with the Rashtriya Ispat Nigam Ltd.
On 4.01.2001 case was registered against the Appellant under
Section 120B read with Sections 420, 467, 468 and 471 of the
Indian Penal Code, 1860 (“IPC”); and Section 13(2) read with
Section 13(1)(d) of the Prevention of Corruption Act, 1988 (“PC
Act”).",467,DATE
2,"The Appellant/Accused No. 1 was working as Regional
Manager (South) at Chennai with the Rashtriya Ispat Nigam Ltd.
On 4.01.2001 case was registered against the Appellant under
Section 120B read with Sections 420, 467, 468 and 471 of the
Indian Penal Code, 1860 (“IPC”); and Section 13(2) read with
Section 13(1)(d) of the Prevention of Corruption Act, 1988 (“PC
Act”).",468,CARDINAL
2,"The Appellant/Accused No. 1 was working as Regional
Manager (South) at Chennai with the Rashtriya Ispat Nigam Ltd.
On 4.01.2001 case was registered against the Appellant under
Section 120B read with Sections 420, 467, 468 and 471 of the
Indian Penal Code, 1860 (“IPC”); and Section 13(2) read with
Section 13(1)(d) of the Prevention of Corruption Act, 1988 (“PC
Act”).",471,CARDINAL
2,"The Appellant/Accused No. 1 was working as Regional
Manager (South) at Chennai with the Rashtriya Ispat Nigam Ltd.
On 4.01.2001 case was registered against the Appellant under
Section 120B read with Sections 420, 467, 468 and 471 of the
Indian Penal Code, 1860 (“IPC”); and Section 13(2) read with
Section 13(1)(d) of the Prevention of Corruption Act, 1988 (“PC
Act”).",Indian Penal Code,LAW
2,"The Appellant/Accused No. 1 was working as Regional
Manager (South) at Chennai with the Rashtriya Ispat Nigam Ltd.
On 4.01.2001 case was registered against the Appellant under
Section 120B read with Sections 420, 467, 468 and 471 of the
Indian Penal Code, 1860 (“IPC”); and Section 13(2) read with
Section 13(1)(d) of the Prevention of Corruption Act, 1988 (“PC
Act”).",1860,DATE
2,"The Appellant/Accused No. 1 was working as Regional
Manager (South) at Chennai with the Rashtriya Ispat Nigam Ltd.
On 4.01.2001 case was registered against the Appellant under
Section 120B read with Sections 420, 467, 468 and 471 of the
Indian Penal Code, 1860 (“IPC”); and Section 13(2) read with
Section 13(1)(d) of the Prevention of Corruption Act, 1988 (“PC
Act”).",IPC,ORG
2,"The Appellant/Accused No. 1 was working as Regional
Manager (South) at Chennai with the Rashtriya Ispat Nigam Ltd.
On 4.01.2001 case was registered against the Appellant under
Section 120B read with Sections 420, 467, 468 and 471 of the
Indian Penal Code, 1860 (“IPC”); and Section 13(2) read with
Section 13(1)(d) of the Prevention of Corruption Act, 1988 (“PC
Act”).",Section 13(2,LAW
2,"The Appellant/Accused No. 1 was working as Regional
Manager (South) at Chennai with the Rashtriya Ispat Nigam Ltd.
On 4.01.2001 case was registered against the Appellant under
Section 120B read with Sections 420, 467, 468 and 471 of the
Indian Penal Code, 1860 (“IPC”); and Section 13(2) read with
Section 13(1)(d) of the Prevention of Corruption Act, 1988 (“PC
Act”).",Section 13(1)(d,LAW
2,"The Appellant/Accused No. 1 was working as Regional
Manager (South) at Chennai with the Rashtriya Ispat Nigam Ltd.
On 4.01.2001 case was registered against the Appellant under
Section 120B read with Sections 420, 467, 468 and 471 of the
Indian Penal Code, 1860 (“IPC”); and Section 13(2) read with
Section 13(1)(d) of the Prevention of Corruption Act, 1988 (“PC
Act”).",the Prevention of Corruption Act,ORG
2,"The Appellant/Accused No. 1 was working as Regional
Manager (South) at Chennai with the Rashtriya Ispat Nigam Ltd.
On 4.01.2001 case was registered against the Appellant under
Section 120B read with Sections 420, 467, 468 and 471 of the
Indian Penal Code, 1860 (“IPC”); and Section 13(2) read with
Section 13(1)(d) of the Prevention of Corruption Act, 1988 (“PC
Act”).",1988,DATE
2,"Subsequently, the officers of the Respondent investigative
agency conducted search at the Appellant’s residence on
24.01.2001 on the basis of search warrant issued by the Special
Judge, Tis Hazari Court, New Delhi.",Respondent,LOC
2,"Subsequently, the officers of the Respondent investigative
agency conducted search at the Appellant’s residence on
24.01.2001 on the basis of search warrant issued by the Special
Judge, Tis Hazari Court, New Delhi.",Appellant,PRODUCT
2,"Subsequently, the officers of the Respondent investigative
agency conducted search at the Appellant’s residence on
24.01.2001 on the basis of search warrant issued by the Special
Judge, Tis Hazari Court, New Delhi.",24.01.2001,CARDINAL
2,"Subsequently, the officers of the Respondent investigative
agency conducted search at the Appellant’s residence on
24.01.2001 on the basis of search warrant issued by the Special
Judge, Tis Hazari Court, New Delhi.",Tis Hazari Court,ORG
2,"Subsequently, the officers of the Respondent investigative
agency conducted search at the Appellant’s residence on
24.01.2001 on the basis of search warrant issued by the Special
Judge, Tis Hazari Court, New Delhi.",New Delhi,GPE
2,"79,65,900/­ (“seized currency”), in
addition to jewellery and property papers, was seized from the
Appellant’s residence.",Appellant,PRODUCT
2,"Since these assets were found to be
disproportionate to the Appellant’s known sources of income, on
2",Appellant,PRODUCT
2,"Since these assets were found to be
disproportionate to the Appellant’s known sources of income, on
2",2,CARDINAL
3,"9.03.2001 a separate disproportionate assets case was registered
against him under Section 13(2) read with 13(1)(e) of the PC Act.",Section 13(2,LAW
3,"9.03.2001 a separate disproportionate assets case was registered
against him under Section 13(2) read with 13(1)(e) of the PC Act.",13(1)(e,CARDINAL
3,"9.03.2001 a separate disproportionate assets case was registered
against him under Section 13(2) read with 13(1)(e) of the PC Act.",the PC Act,LAW
3,"During the course of investigation, Accused No. 2 V.S.
Krishnan (Appellant in the connected appeal arising out of S.L.P.
(Crl.)",2,CARDINAL
3,"During the course of investigation, Accused No. 2 V.S.
Krishnan (Appellant in the connected appeal arising out of S.L.P.
(Crl.)",V.S.,GPE
3,"During the course of investigation, Accused No. 2 V.S.
Krishnan (Appellant in the connected appeal arising out of S.L.P.
(Crl.)",Krishnan,GPE
3,"During the course of investigation, Accused No. 2 V.S.
Krishnan (Appellant in the connected appeal arising out of S.L.P.
(Crl.)",S.L.P.,ORG
3,"No. 6720 of 2020) and Accused No. 3 Murugesan (Appellant
in the connected appeal arising out of S.L.P. (Crl.)",2020,DATE
3,"No. 6720 of 2020) and Accused No. 3 Murugesan (Appellant
in the connected appeal arising out of S.L.P. (Crl.)",3,CARDINAL
3,"No. 6720 of 2020) and Accused No. 3 Murugesan (Appellant
in the connected appeal arising out of S.L.P. (Crl.)",Murugesan,PERSON
3,"No. 6720 of 2020) and Accused No. 3 Murugesan (Appellant
in the connected appeal arising out of S.L.P. (Crl.)",S.L.P.,ORG
3,"No. 6327 of
2020) wrote letter dated 4.02.2002 to the Superintendent of
Police, CBI/ACU­II claiming that the seized currency did not
belong to the Appellant/Accused No. 1.",6327,DATE
3,"No. 6327 of
2020) wrote letter dated 4.02.2002 to the Superintendent of
Police, CBI/ACU­II claiming that the seized currency did not
belong to the Appellant/Accused No. 1.",2020,DATE
3,"No. 6327 of
2020) wrote letter dated 4.02.2002 to the Superintendent of
Police, CBI/ACU­II claiming that the seized currency did not
belong to the Appellant/Accused No. 1.",4.02.2002,TIME
3,"No. 6327 of
2020) wrote letter dated 4.02.2002 to the Superintendent of
Police, CBI/ACU­II claiming that the seized currency did not
belong to the Appellant/Accused No. 1.",CBI,ORG
3,"No. 6327 of
2020) wrote letter dated 4.02.2002 to the Superintendent of
Police, CBI/ACU­II claiming that the seized currency did not
belong to the Appellant/Accused No. 1.",the Appellant/Accused No,ORG
3,"No. 6327 of
2020) wrote letter dated 4.02.2002 to the Superintendent of
Police, CBI/ACU­II claiming that the seized currency did not
belong to the Appellant/Accused No. 1.",1,CARDINAL
3,"They contended that
Accused No. 2 had entered into agreement of sale dated
24.01.2001 to purchase properties from Accused No. 3, for which
a sum of Rs 80 lakhs was to be paid in advance.",2,CARDINAL
3,"They contended that
Accused No. 2 had entered into agreement of sale dated
24.01.2001 to purchase properties from Accused No. 3, for which
a sum of Rs 80 lakhs was to be paid in advance.",24.01.2001,CARDINAL
3,"They contended that
Accused No. 2 had entered into agreement of sale dated
24.01.2001 to purchase properties from Accused No. 3, for which
a sum of Rs 80 lakhs was to be paid in advance.",Accused No,GPE
3,"They contended that
Accused No. 2 had entered into agreement of sale dated
24.01.2001 to purchase properties from Accused No. 3, for which
a sum of Rs 80 lakhs was to be paid in advance.",3,CARDINAL
3,"They contended that
Accused No. 2 had entered into agreement of sale dated
24.01.2001 to purchase properties from Accused No. 3, for which
a sum of Rs 80 lakhs was to be paid in advance.",80,CARDINAL
3,"Since Accused
No. 2 was not available on that date for execution of the written
agreement, he had entrusted the seized currency, along with a
duplicate copy of the agreement signed by him, to the Appellant.",2,CARDINAL
3,"Since Accused
No. 2 was not available on that date for execution of the written
agreement, he had entrusted the seized currency, along with a
duplicate copy of the agreement signed by him, to the Appellant.",Appellant,PRODUCT
3,"The agreement was to be executed by Accused No. 3 in the
presence of Appellant.",Accused No,ORG
3,"The agreement was to be executed by Accused No. 3 in the
presence of Appellant.",3,CARDINAL
3,"The agreement was to be executed by Accused No. 3 in the
presence of Appellant.",Appellant,PRODUCT
3,"However, since the Appellant’s house was
raided on that date, the money could not be paid and the
3",Appellant,PRODUCT
3,"However, since the Appellant’s house was
raided on that date, the money could not be paid and the
3",3,CARDINAL
4,"2
and 3 sought recovery of the seized currency.",2,CARDINAL
4,"2
and 3 sought recovery of the seized currency.",3,CARDINAL
4,"Accused No. 2 produced the purported sale deed dated
24.01.2001 (in duplicate) typed out on stamp paper before the
Investigating Officer in support of their claim.",2,CARDINAL
4,"Accused No. 2 produced the purported sale deed dated
24.01.2001 (in duplicate) typed out on stamp paper before the
Investigating Officer in support of their claim.",24.01.2001,CARDINAL
4,"He also produced
certain books of accounts to show that he had financial capacity
to purchase the properties from Accused No. 3, in which entry
was made on 20.01.2001 pertaining to payment of advance price
of Rs 80 lakhs to Accused No. 3.",Accused No,GPE
4,"He also produced
certain books of accounts to show that he had financial capacity
to purchase the properties from Accused No. 3, in which entry
was made on 20.01.2001 pertaining to payment of advance price
of Rs 80 lakhs to Accused No. 3.",3,CARDINAL
4,"He also produced
certain books of accounts to show that he had financial capacity
to purchase the properties from Accused No. 3, in which entry
was made on 20.01.2001 pertaining to payment of advance price
of Rs 80 lakhs to Accused No. 3.",20.01.2001,CARDINAL
4,"He also produced
certain books of accounts to show that he had financial capacity
to purchase the properties from Accused No. 3, in which entry
was made on 20.01.2001 pertaining to payment of advance price
of Rs 80 lakhs to Accused No. 3.",80,CARDINAL
4,"He also produced
certain books of accounts to show that he had financial capacity
to purchase the properties from Accused No. 3, in which entry
was made on 20.01.2001 pertaining to payment of advance price
of Rs 80 lakhs to Accused No. 3.",Accused No,GPE
4,"He also produced
certain books of accounts to show that he had financial capacity
to purchase the properties from Accused No. 3, in which entry
was made on 20.01.2001 pertaining to payment of advance price
of Rs 80 lakhs to Accused No. 3.",3,CARDINAL
4,"However, pertinently, the
Appellant had not taken any such defence at the time of search
conducted in his house on 24.01.2001, nor had he produced the
duplicate sale deed before the officers of the Respondent agency
at that time.",24.01.2001,DATE
4,"3.3 Investigation conducted by the Respondent revealed
that the market value fixed by the State Government in respect of
the two properties described in sale deed dated 24.01.2001, was
much below Rs 80 lakhs.",3.3,CARDINAL
4,"3.3 Investigation conducted by the Respondent revealed
that the market value fixed by the State Government in respect of
the two properties described in sale deed dated 24.01.2001, was
much below Rs 80 lakhs.",Respondent,PRODUCT
4,"3.3 Investigation conducted by the Respondent revealed
that the market value fixed by the State Government in respect of
the two properties described in sale deed dated 24.01.2001, was
much below Rs 80 lakhs.",the State Government,ORG
4,"3.3 Investigation conducted by the Respondent revealed
that the market value fixed by the State Government in respect of
the two properties described in sale deed dated 24.01.2001, was
much below Rs 80 lakhs.",two,CARDINAL
4,"3.3 Investigation conducted by the Respondent revealed
that the market value fixed by the State Government in respect of
the two properties described in sale deed dated 24.01.2001, was
much below Rs 80 lakhs.",24.01.2001,DATE
4,"3.3 Investigation conducted by the Respondent revealed
that the market value fixed by the State Government in respect of
the two properties described in sale deed dated 24.01.2001, was
much below Rs 80 lakhs.",80,CARDINAL
4,"Further, that the first property was
equitably mortgaged with the Tamil Nadu Mercantile Bank Ltd.
since 4.9.1998; whereas a portion of the second property had
already been sold to other persons.",first,ORDINAL
4,"Further, that the first property was
equitably mortgaged with the Tamil Nadu Mercantile Bank Ltd.
since 4.9.1998; whereas a portion of the second property had
already been sold to other persons.",the Tamil Nadu Mercantile Bank Ltd.,ORG
4,"Further, that the first property was
equitably mortgaged with the Tamil Nadu Mercantile Bank Ltd.
since 4.9.1998; whereas a portion of the second property had
already been sold to other persons.",4.9.1998,DATE
4,"Further, that the first property was
equitably mortgaged with the Tamil Nadu Mercantile Bank Ltd.
since 4.9.1998; whereas a portion of the second property had
already been sold to other persons.",second,ORDINAL
4,"That the license of Accused
4",4,CARDINAL
5,"No. 4 stamp vendor S. Mohankumar, through whom the stamp
papers of the sale deed were issued on 11.01.2001, was cancelled
on 7.10.1992.",4,CARDINAL
5,"No. 4 stamp vendor S. Mohankumar, through whom the stamp
papers of the sale deed were issued on 11.01.2001, was cancelled
on 7.10.1992.",S. Mohankumar,PERSON
5,"No. 4 stamp vendor S. Mohankumar, through whom the stamp
papers of the sale deed were issued on 11.01.2001, was cancelled
on 7.10.1992.",11.01.2001,CARDINAL
5,"No stamp paper of any denomination had been
issued to him during the period of 1998 to 2001.",1998 to 2001,DATE
5,"Accordingly, the Learned Additional
Special Judge for CBI Cases, Chennai (“Trial Court”) framed
charges against the Appellant and Accused Nos.","the Learned Additional
Special",ORG
5,"Accordingly, the Learned Additional
Special Judge for CBI Cases, Chennai (“Trial Court”) framed
charges against the Appellant and Accused Nos.",CBI Cases,ORG
5,"Accordingly, the Learned Additional
Special Judge for CBI Cases, Chennai (“Trial Court”) framed
charges against the Appellant and Accused Nos.",Chennai,PERSON
5,"Accordingly, the Learned Additional
Special Judge for CBI Cases, Chennai (“Trial Court”) framed
charges against the Appellant and Accused Nos.",Trial Court,WORK_OF_ART
5,"Accordingly, the Learned Additional
Special Judge for CBI Cases, Chennai (“Trial Court”) framed
charges against the Appellant and Accused Nos.",Appellant and Accused Nos,WORK_OF_ART
5,"2­4 under
Section 120B read with Section 193 of the IPC, in addition to
charges under the PC Act already framed against the Appellant.",2­4,DATE
5,"2­4 under
Section 120B read with Section 193 of the IPC, in addition to
charges under the PC Act already framed against the Appellant.",Section 120B,LAW
5,"2­4 under
Section 120B read with Section 193 of the IPC, in addition to
charges under the PC Act already framed against the Appellant.",Section 193,LAW
5,"2­4 under
Section 120B read with Section 193 of the IPC, in addition to
charges under the PC Act already framed against the Appellant.",IPC,ORG
5,"2­4 under
Section 120B read with Section 193 of the IPC, in addition to
charges under the PC Act already framed against the Appellant.",the PC Act,LAW
5,"2­4 under
Section 120B read with Section 193 of the IPC, in addition to
charges under the PC Act already framed against the Appellant.",Appellant,PRODUCT
5,"However, during the course of trial, the
Accused argued that complaint under Section 195(1)(b) of the
Code of Criminal Procedure, 1973 (“CrPC”) was necessary for
prosecuting the case under Section 193, IPC.",Section 195(1)(b,LAW
5,"However, during the course of trial, the
Accused argued that complaint under Section 195(1)(b) of the
Code of Criminal Procedure, 1973 (“CrPC”) was necessary for
prosecuting the case under Section 193, IPC.",1973,DATE
5,"However, during the course of trial, the
Accused argued that complaint under Section 195(1)(b) of the
Code of Criminal Procedure, 1973 (“CrPC”) was necessary for
prosecuting the case under Section 193, IPC.",CrPC,WORK_OF_ART
5,"However, during the course of trial, the
Accused argued that complaint under Section 195(1)(b) of the
Code of Criminal Procedure, 1973 (“CrPC”) was necessary for
prosecuting the case under Section 193, IPC.",Section 193,LAW
5,"However, during the course of trial, the
Accused argued that complaint under Section 195(1)(b) of the
Code of Criminal Procedure, 1973 (“CrPC”) was necessary for
prosecuting the case under Section 193, IPC.",IPC,ORG
5,"The Trial Court
rejected this argument by referring to the opinion of the
Constitution Bench in Iqbal Singh Marwah and Another v.
5",Iqbal Singh Marwah,PERSON
5,"The Trial Court
rejected this argument by referring to the opinion of the
Constitution Bench in Iqbal Singh Marwah and Another v.
5",5,CARDINAL
6,"Meenakshi Marwah and Another, (2005) 4 SCC 370.",Meenakshi Marwah,PERSON
6,"Meenakshi Marwah and Another, (2005) 4 SCC 370.",2005,DATE
6,"Meenakshi Marwah and Another, (2005) 4 SCC 370.",4,CARDINAL
6,"Meenakshi Marwah and Another, (2005) 4 SCC 370.",370,CARDINAL
6,"Furthermore, based on the evidence on the record, the Trial
Court found that it was not proved that Accused No. 2 had
entrusted the seized currency to the Appellant for holding in
escrow till completion of sale transaction by Accused No. 3.","the Trial
Court",ORG
6,"Furthermore, based on the evidence on the record, the Trial
Court found that it was not proved that Accused No. 2 had
entrusted the seized currency to the Appellant for holding in
escrow till completion of sale transaction by Accused No. 3.",2,CARDINAL
6,"Furthermore, based on the evidence on the record, the Trial
Court found that it was not proved that Accused No. 2 had
entrusted the seized currency to the Appellant for holding in
escrow till completion of sale transaction by Accused No. 3.",Appellant,PRODUCT
6,"Furthermore, based on the evidence on the record, the Trial
Court found that it was not proved that Accused No. 2 had
entrusted the seized currency to the Appellant for holding in
escrow till completion of sale transaction by Accused No. 3.",Accused No,ORG
6,"Furthermore, based on the evidence on the record, the Trial
Court found that it was not proved that Accused No. 2 had
entrusted the seized currency to the Appellant for holding in
escrow till completion of sale transaction by Accused No. 3.",3,CARDINAL
6,"Hence, the Trial Court convicted the Appellant under Section
13(2) read with Section 13(1)(e) of the PC Act; as well as Sections
120B and 193 of the IPC, and sentenced him to rigorous
imprisonment for two years and payment of fine of Rs 1.5 lakhs.",the Trial Court,ORG
6,"Hence, the Trial Court convicted the Appellant under Section
13(2) read with Section 13(1)(e) of the PC Act; as well as Sections
120B and 193 of the IPC, and sentenced him to rigorous
imprisonment for two years and payment of fine of Rs 1.5 lakhs.",Section 13(1)(e,LAW
6,"Hence, the Trial Court convicted the Appellant under Section
13(2) read with Section 13(1)(e) of the PC Act; as well as Sections
120B and 193 of the IPC, and sentenced him to rigorous
imprisonment for two years and payment of fine of Rs 1.5 lakhs.",Sections,ORG
6,"Hence, the Trial Court convicted the Appellant under Section
13(2) read with Section 13(1)(e) of the PC Act; as well as Sections
120B and 193 of the IPC, and sentenced him to rigorous
imprisonment for two years and payment of fine of Rs 1.5 lakhs.",193,CARDINAL
6,"Hence, the Trial Court convicted the Appellant under Section
13(2) read with Section 13(1)(e) of the PC Act; as well as Sections
120B and 193 of the IPC, and sentenced him to rigorous
imprisonment for two years and payment of fine of Rs 1.5 lakhs.",IPC,ORG
6,"Hence, the Trial Court convicted the Appellant under Section
13(2) read with Section 13(1)(e) of the PC Act; as well as Sections
120B and 193 of the IPC, and sentenced him to rigorous
imprisonment for two years and payment of fine of Rs 1.5 lakhs.",two years,DATE
6,"Hence, the Trial Court convicted the Appellant under Section
13(2) read with Section 13(1)(e) of the PC Act; as well as Sections
120B and 193 of the IPC, and sentenced him to rigorous
imprisonment for two years and payment of fine of Rs 1.5 lakhs.",1.5,CARDINAL
6,"2 and 3 were convicted under Sections 120B and
193 of IPC and sentenced to rigorous imprisonment for one year
and payment of fine of Rs 1 lakh each.",2,CARDINAL
6,"2 and 3 were convicted under Sections 120B and
193 of IPC and sentenced to rigorous imprisonment for one year
and payment of fine of Rs 1 lakh each.",3,CARDINAL
6,"2 and 3 were convicted under Sections 120B and
193 of IPC and sentenced to rigorous imprisonment for one year
and payment of fine of Rs 1 lakh each.",193,CARDINAL
6,"2 and 3 were convicted under Sections 120B and
193 of IPC and sentenced to rigorous imprisonment for one year
and payment of fine of Rs 1 lakh each.",IPC,ORG
6,"2 and 3 were convicted under Sections 120B and
193 of IPC and sentenced to rigorous imprisonment for one year
and payment of fine of Rs 1 lakh each.",one year,DATE
6,"2 and 3 were convicted under Sections 120B and
193 of IPC and sentenced to rigorous imprisonment for one year
and payment of fine of Rs 1 lakh each.",1,CARDINAL
6,"In appeal before the High Court, Accused Nos.",the High Court,ORG
6,"In appeal before the High Court, Accused Nos.",Accused Nos,PERSON
6,"2 and 3
reiterated that the requirements of Sections 195(1)(b)(i) and 340
of the CrPC were not complied with prior to framing of charge
under Section 193, IPC.",2,CARDINAL
6,"2 and 3
reiterated that the requirements of Sections 195(1)(b)(i) and 340
of the CrPC were not complied with prior to framing of charge
under Section 193, IPC.",3,CARDINAL
6,"2 and 3
reiterated that the requirements of Sections 195(1)(b)(i) and 340
of the CrPC were not complied with prior to framing of charge
under Section 193, IPC.",Sections 195(1)(b)(i,ORG
6,"2 and 3
reiterated that the requirements of Sections 195(1)(b)(i) and 340
of the CrPC were not complied with prior to framing of charge
under Section 193, IPC.",340,CARDINAL
6,"2 and 3
reiterated that the requirements of Sections 195(1)(b)(i) and 340
of the CrPC were not complied with prior to framing of charge
under Section 193, IPC.",CrPC,ORG
6,"2 and 3
reiterated that the requirements of Sections 195(1)(b)(i) and 340
of the CrPC were not complied with prior to framing of charge
under Section 193, IPC.",Section 193,LAW
6,"2 and 3
reiterated that the requirements of Sections 195(1)(b)(i) and 340
of the CrPC were not complied with prior to framing of charge
under Section 193, IPC.",IPC,ORG
6,"Therefore, framing of charge without
conduct of inquiry and making of written complaint by the Trial
Court was illegal and without jurisdiction.","the Trial
Court",ORG
6,"The High Court
rejected this contention and held that the procedure under
Section 195(1)(b)(i) is only mandatory in offences which directly
6",Section 195(1)(b)(i,LAW
6,"The High Court
rejected this contention and held that the procedure under
Section 195(1)(b)(i) is only mandatory in offences which directly
6",6,CARDINAL
7,"affect administration of justice, i.e. pertaining to documents
which are custodia legis.",affect administration of justice,ORG
7,"Thus, the offence must be committed
after a document is produced in evidence before the Court.",Court,ORG
