Page,Important Sentence,Score,Keywords,Entities
6,"Furthermore, based on the evidence on the record, the Trial
Court found that it was not proved that Accused No. 2 had
entrusted the seized currency to the Appellant for holding in
escrow till completion of sale transaction by Accused No. 3.",4.1132,"evidence, record, Trial, Court, currency, Appellant, escrow","[('the Trial\nCourt', 'ORG'), ('2', 'CARDINAL'), ('Appellant', 'PRODUCT'), ('Accused No', 'ORG'), ('3', 'CARDINAL')]"
6,"Hence, the Trial Court convicted the Appellant under Section
13(2) read with Section 13(1)(e) of the PC Act; as well as Sections
120B and 193 of the IPC, and sentenced him to rigorous
imprisonment for two years and payment of fine of Rs 1.5 lakhs.",4.3544,"Trial, Court, Appellant, Section, 13(2, Sections, 120B","[('the Trial Court', 'ORG'), ('Section 13(1)(e', 'LAW'), ('Sections', 'ORG'), ('193', 'CARDINAL'), ('IPC', 'ORG'), ('two years', 'DATE'), ('1.5', 'CARDINAL')]"
7,"The High Court relied upon the decision of a three­Judge
Bench of this Court in Sachida Nand Singh and Another v.
State of Bihar and Another, (1998) 2 SCC 493, and the later
Constitution Bench decision in Iqbal Singh Marwah (supra)
which affirmed the view taken in Sachida Nand Singh, while
laying down its opinion.",4.6549,"High, Court, decision, Bench, Sachida, Nand, Singh","[('The High Court', 'ORG'), ('Court', 'ORG'), ('Sachida', 'GPE'), ('Nand Singh', 'PERSON'), ('1998', 'DATE'), ('2', 'CARDINAL'), ('Singh Marwah', 'PERSON'), ('Sachida', 'GPE'), ('Nand Singh', 'PERSON')]"
8,"4. Learned senior counsel Mr. Basava Prabhu Patil, and
learned counsel Mr. Amit Anand Tiwari and Mr. B. Karunakaran
appearing for the Appellants/Accused, have forcefully argued
that Section 195(1)(b)(i), CrPC cannot be construed as analogous
to Section 195(1)(b)(ii).",4.1735,"counsel, Basava, Prabhu, Patil, Amit, Anand, Tiwari","[('4', 'CARDINAL'), ('Basava Prabhu Patil', 'PERSON'), ('Amit Anand', 'PERSON'), ('B. Karunakaran', 'PERSON'), ('the Appellants/Accused', 'ORG'), ('Section 195(1)(b)(i', 'LAW'), ('CrPC', 'ORG')]"
9,"4.1 Per contra, learned Additional Solicitor General
appearing for the Respondent, Ms. Aishwarya Bhati, has
contended that the holding in Iqbal Singh Marwah is applicable
in respect of Section 195(1)(b)(i) of the CrPC as well.",4.3008,"contra, Additional, Solicitor, General, Respondent, Aishwarya, Bhati","[('4.1', 'CARDINAL'), ('Additional Solicitor General', 'ORG'), ('Aishwarya Bhati', 'PERSON'), ('Singh Marwah', 'PERSON'), ('Section 195(1)(b)(i', 'LAW'), ('CrPC', 'ORG')]"
9,"She has also
sought to distinguish Bandekar Brothers (supra) and other
decisions relied upon by the learned counsel for the
Appellants/Accused on the ground that these were rendered in
the particular facts of those cases, and will not apply to the
present case.",4.2865,"Bandekar, Brothers, supra, decisions, counsel, Appellants, ground","[('Bandekar Brothers', 'ORG'), ('Appellants/Accused', 'ORG')]"
9,"(1) No Court shall take cognizance—
(b)(i) of any offence punishable under any of the
following sections of the Indian Penal Code (45 of
1860), namely, sections 193 to 196 (both inclusive),
199, 200, 205 to 211 (both inclusive) and 228, when
9",4.1741,"Court, cognizance, b)(i, offence, sections, Indian, Penal","[('1', 'CARDINAL'), ('the Indian Penal Code', 'LAW'), ('45', 'CARDINAL'), ('1860', 'DATE'), ('193', 'CARDINAL'), ('196', 'CARDINAL'), ('199', 'CARDINAL'), ('200', 'CARDINAL'), ('205', 'CARDINAL'), ('211', 'CARDINAL'), ('228', 'CARDINAL'), ('9', 'CARDINAL')]"
10,"such offence is alleged to have been committed in, or
in relation to, any proceeding in any Court,
or
(ii) of any offence described in section 463, or
punishable under section 471, section 475 or section
476, of the said Code, when such offence is alleged to
have been committed in respect of a document
produced or given in evidence in a proceeding in any
Court,
or
(iii) of any criminal conspiracy to commit, or attempt
to commit, or the abetment of, any offence specified
in sub­clause (i) or sub­clause (ii),
except on the complaint in writing of that Court or by
such officer of the Court as that Court may authorise
in writing in this behalf, or of some other Court to
which that Court is subordinate.",5.5449,"offence, relation, proceeding, Court, section, Code, respect","[('Court', 'ORG'), ('475', 'CARDINAL'), ('476', 'CARDINAL'), ('Court', 'ORG'), ('Court', 'ORG'), ('Court', 'ORG'), ('Court', 'ORG'), ('Court', 'ORG')]"
10,"In clause (b) of Sub­Section (1), the term “Court”
means a Civil, Revenue or Criminal Court, and
includes a tribunal constituted by or under a Central,
provincial or State Act if declared by that Act to be a
Court for the purposes of this section.”
(emphasis supplied)
10",4.5064,"clause, Sub­Section, term, Court, Civil, Revenue, Criminal","[('1', 'CARDINAL'), ('Criminal Court', 'ORG'), ('Central', 'ORG'), ('10', 'CARDINAL')]"
11,"It is well settled that Section 195(1)(b) creates a bar against
taking cognizance of offences against the administration of
justice for the purpose of guarding against baseless or vindictive
prosecutions by private parties.",3.9656,"Section, cognizance, offences, administration, justice, purpose, prosecutions",[]
11,"The provisions of this Section
imply that the Court is the only appropriate authority which is
entitled to raise grievance in relation to perjury, forgery of
documents produced before the Court, and other offences which
interfere with the effective dispensation of justice by the Court.",4.2348,"provisions, Section, Court, authority, grievance, relation, perjury","[('Court', 'ORG'), ('Court', 'ORG'), ('Court', 'ORG')]"
11,"However,
there is a pertinent difference in the wording of Section 195(1)(b)
(i) and Section 195(1)(b)(ii) inasmuch as Section 195(1)(b)(ii) is
restricted to offences which are committed in respect of a
document which is “produced or given in evidence in a proceeding
in any court”.",3.89,"difference, wording, Section, inasmuch, offences, respect, document","[('Section 195(1)(b)(ii', 'LAW')]"
12,"When upon an application made to it in
this behalf or otherwise any Court is of opinion that it
is expedient in the interest of justice that an inquiry
should be made into any offence referred to in clause
(b) of Sub­Section (1) of section 195, which appears to
have been committed in or in relation to a proceeding
in that Court or, as the case may be, in respect of a
document produced or given in evidence in a
proceeding in that Court, such Court may, after such
preliminary inquiry, if any, as it thinks necessary;
(a) record a finding to that effect;
(b) make a complaint thereof in writing;
(c) send it to a Magistrate of the first class having
jurisdiction;
(d) take sufficient security for the appearance for the
accused before such Magistrate, or if the alleged
offence is non­bailable and the Court thinks it
necessary so to do send the accused in custody to
such Magistrate; and
(e) bind over any person to appear and give evidence
before such Magistrate.",6.3034,"application, behalf, Court, opinion, expedient, interest, justice","[('Court', 'ORG'), ('1', 'CARDINAL'), ('section 195', 'LAW'), ('Court', 'ORG'), ('Court', 'ORG'), ('Court', 'ORG'), ('Magistrate', 'ORG'), ('first', 'ORDINAL'), ('Magistrate', 'ORG'), ('Court', 'ORG'), ('Magistrate', 'ORG'), ('Magistrate', 'ORG')]"
12,"At this juncture, it is relevant to note that a Bench of this
Court (consisting of one of us) in State of Punjab v. Jasbir
Singh, (2020) 12 SCC 96, has referred the question of whether it
is mandatory for the Court to conduct a preliminary inquiry and
provide opportunity of hearing to the would­be­accused under
12",4.679,"juncture, Bench, Court, State, Punjab, Jasbir, Singh","[('one', 'CARDINAL'), ('State', 'ORG'), ('Punjab', 'NORP'), ('Jasbir\nSingh', 'PERSON'), ('2020', 'DATE'), ('12', 'CARDINAL'), ('Court', 'ORG'), ('12', 'CARDINAL')]"
13,"Therefore, we shall be
limiting our findings to the issue of whether written complaint by
the Trial
Court was required under Section 195(1)(b)(i), CrPC in the
present case, without delving extensively into the aspect of
whether preliminary inquiry was required to be conducted prior
to such complaint.",4.2431,"findings, issue, complaint, Trial, Court, Section, CrPC","[('the Trial\nCourt', 'ORG'), ('Section 195(1)(b)(i', 'LAW'), ('CrPC', 'ORG')]"
13,"Whoever causes
any circumstance to exist or makes any false entry in
any book or record, or electronic record or makes any
document or electronic record containing a false
statement, intending that such circumstance, false
entry or false statement may appear in evidence in a
judicial proceeding, or in a proceeding taken by law
before a public servant as such, or before an
arbitrator, and that such circumstance, false entry or
false statement, so appearing in evidence, may cause
any person who in such proceeding is to form an
opinion upon the evidence, to entertain an erroneous
opinion touching any point material to the result of
such proceeding, is said “to fabricate false evidence”.",5.0608,"circumstance, entry, book, record, document, statement, evidence",[]
14,"Whoever
intentionally gives false evidence in any stage of a
judicial proceeding, or fabricates false evidence for
the purpose of being used in any stage of a judicial
proceeding, shall be punished with imprisonment of
either description for a term which may extend to
seven years, and shall also be liable to fine…
Explanation 2: An investigation directed by law
preliminary to a proceeding before a Court of Justice,
is a stage of a judicial proceeding, though that
investigation may not take place before a Court of
Justice.”",5.0176,"evidence, stage, proceeding, purpose, imprisonment, description, term","[('seven years', 'DATE'), ('Court of Justice', 'ORG'), ('Court', 'ORG')]"
14,"2 and
3 is that they colluded with Appellant/Accused No. 1 to create a
false sale deed, and gave false explanation of escrow arrangement
amongst the three parties, to justify how the seized currency came
to be in the Appellant’s possession.",4.0523,"Appellant, sale, deed, explanation, arrangement, parties, currency","[('2', 'CARDINAL'), ('3', 'CARDINAL'), ('Appellant/Accused No', 'ORG'), ('1', 'CARDINAL'), ('three', 'CARDINAL'), ('Appellant', 'PRODUCT')]"
14,"Had the
genuineness of the sale deed been accepted, the Respondent may
have erroneously opined that the seized currency belonged to
Accused No. 2, and consequently abandoned proceedings under
Section 13(1)(e), PC Act against the Appellant.",4.2168,"genuineness, sale, deed, Respondent, currency, proceedings, Section","[('2', 'CARDINAL'), ('Appellant', 'PRODUCT')]"
15,"Hence, the primary question of law that arises for
our consideration in these appeals is whether
Section 195(1)(b)(i), CrPC bars lodging of case by
the investigating agency under Section 193, IPC,
in respect of offence of giving false evidence which
is committed at the stage of investigation, prior to
production of such evidence before the Trial
Court?",5.083,"question, consideration, appeals, Section, 195(1)(b)(i, CrPC, bars","[('Section 195(1)(b)(i', 'LAW'), ('CrPC', 'ORG'), ('Section 193', 'LAW'), ('IPC', 'ORG'), ('the Trial\nCourt', 'ORG')]"
15,"Whether an offence under Section 193, IPC
committed at the stage of investigation, prior to
production of the false evidence before the Trial
Court by a person who is not yet party to
proceedings before the Trial Court, is an offence
“in relation to” a proceeding in any court under
Section 195(1)(b)(i), CrPC?
6.2 Whether the words “stage of a judicial proceeding”
under Explanation 2 to Section 193, IPC can be
equated with “proceeding in any court” under
Section 195(1)(b)(i), CrPC?
15",4.7323,"offence, Section, stage, investigation, production, evidence, Trial","[('Section 193', 'LAW'), ('IPC', 'ORG'), ('the Trial\nCourt', 'ORG'), ('the Trial Court', 'ORG'), ('Section 195(1)(b)(i', 'LAW'), ('CrPC', 'ORG'), ('6.2', 'CARDINAL'), ('Explanation 2 to Section 193', 'LAW'), ('IPC', 'ORG'), ('Section 195(1)(b)(i', 'LAW'), ('CrPC', 'ORG'), ('15', 'CARDINAL')]"
16,"Before answering the questions stated in paragraph 6
(supra), it may be useful to refer to the landmark precedents of
this Court which have considered similar issues arising under
Section 195(1)(b)(ii), CrPC.",4.0444,"questions, paragraph, supra, precedents, Court, issues, Section","[('6', 'CARDINAL'), ('Court', 'ORG'), ('CrPC', 'ORG')]"
16,"This Court in
Sachida Nand Singh (supra) has held that Section 195(1)(b)(ii)
read with Section 340(1), CrPC will only apply in respect of
offences which are committed during the time when the
document concerned was custodia legis or in the custody of the
Court.",4.603,"Court, Sachida, Nand, Singh, supra, Section, CrPC","[('Nand Singh', 'PERSON'), ('Section 340(1', 'LAW'), ('CrPC', 'ORG')]"
17,"It is a well­recognised canon of
interpretation that provision curbing the general
jurisdiction of the court must normally receive strict
interpretation unless the statute or the context
requires otherwise (Abdul Waheed Khan v. Bhawani",4.2487,"canon, interpretation, provision, jurisdiction, court, statute, context","[('Abdul Waheed Khan', 'PERSON'), ('Bhawani', 'PERSON')]"
17,"That apart it is difficult to interpret Section 195(1)
(b)(ii) as containing a bar against initiation of
prosecution proceedings merely because the
document concerned was produced in a court albeit
the act of forgery was perpetrated prior to its
production in the Court.",4.4992,"Section, b)(ii, initiation, prosecution, proceedings, document, court","[('Section 195(1', 'LAW'), ('Court', 'ORG')]"
17,"For
instance, if rank forgery of a valuable document is
detected and the forgerer is sure that he would
imminently be embroiled in prosecution proceedings
he can simply get that document produced in any
long­drawn litigation which was either instituted by
himself or somebody else who can be influenced by
him and thereby pre­empt the prosecution for the
entire long period of pendency of that litigation.",4.8271,"instance, rank, forgery, document, forgerer, prosecution, proceedings",[]
18,"10…It has to be noted that Section 340 falls within
Chapter XXVI of the Code which contains a fasciculus
of “Provisions as to offences affecting the
administration of justice” as the title of the chapter
appellates.",3.8803,"Section, Chapter, XXVI, Code, fasciculus, Provisions, offences","[('10', 'CARDINAL'), ('Section 340', 'LAW'), ('Chapter XXVI', 'LAW')]"
18,"The scope of the preliminary enquiry envisaged in
Section 340(1) of the Code is to ascertain whether any
offence affecting administration of justice has been
committed in respect of a document produced in
court or given in evidence in a proceeding in that
Court.",4.3196,"scope, enquiry, Section, Code, offence, administration, justice","[('Section 340(1', 'LAW')]"
18,"It would be a strained thinking that any offence
involving forgery of a document if committed far
outside the precincts of the Court and long before its
production in the Court, could also be treated as one
affecting administration of justice merely because
that document later reached the court records.",4.4869,"thinking, offence, forgery, document, precincts, Court, production","[('Court', 'ORG'), ('Court', 'ORG'), ('one', 'CARDINAL')]"
18,"The three­Judge Bench of this Court in Patel
Laljibhai Somabhai case [(1971) 2 SCC 376 : 1971
SCC (Cri) 548 : AIR 1971 SC 1935] has interpreted
the corresponding section in the old Code, [Section
195(1)(c)] in almost the same manner as indicated
above…
…The issue involved in Patel Laljibhai Somabhai case
[(1971) 2 SCC 376 : 1971 SCC (Cri) 548 : AIR 1971
SC 1935] related to the applicability of that sub­
section to a case where forged document was
produced in a suit by a party thereto, and
18",4.7305,"Bench, Court, Patel, Laljibhai, Somabhai, case, section","[('Court', 'ORG'), ('Patel', 'PERSON'), ('Laljibhai Somabhai', 'PERSON'), ('1971', 'DATE'), ('2', 'CARDINAL'), ('1971', 'DATE'), ('548', 'CARDINAL'), ('AIR 1971', 'ORG'), ('SC 1935', 'EVENT'), ('Patel Laljibhai Somabhai', 'PERSON'), ('1971', 'DATE'), ('2', 'CARDINAL'), ('1971', 'DATE'), ('548', 'CARDINAL'), ('1971', 'DATE'), ('18', 'CARDINAL')]"
19,"“The offences about which the court alone is clothed
with the right to complain may, therefore, be
appropriately considered to be only those offences
committed by a party to a proceeding in that court,
the commission of which has a reasonably close
nexus with the proceedings in that court so that it
can without embarking upon a completely
independent and fresh inquiry, satisfactorily consider
by reference principally to its records the expediency
of prosecuting the delinquent party.",5.1834,"offences, court, right, party, proceeding, commission, nexus",[]
19,"It, therefore,
appears to be more appropriate to adopt the strict
construction of confirming the prohibition contained
in Section 195(1)(c) only to those cases in which the
offences specified therein were committed by a party
to the proceeding in the character as such party.”
14.",4.0633,"construction, prohibition, Section, cases, offences, party, proceeding","[('Section 195(1)(c', 'LAW'), ('14', 'CARDINAL')]"
19,"According to their
Lordships, any construction to the contrary would
unreasonably restrict the right of a person which was
recognized in Section 190 of the Code.”
(emphasis supplied)
Aforementioned observations of this Court in Patel
Laljibhai Somabhai (supra), as cited in Sachida Nand Singh
(supra), make the import and purpose of Section 195(1)(b), CrPC
19",5.3977,"Lordships, construction, contrary, right, person, Section, Code","[('Lordships', 'PERSON'), ('Section 190 of the Code', 'LAW'), ('Court', 'ORG'), ('Patel', 'PERSON'), ('Laljibhai Somabhai', 'PERSON'), ('Sachida', 'GPE'), ('Nand Singh', 'PERSON'), ('CrPC', 'ORG'), ('19', 'CARDINAL')]"
20,"The provision is intended to bar the right to initiate
prosecution only where the offence committed has a reasonably
close nexus with the court proceedings, such that the Court can
independently determine the need for an inquiry into the offence
with reference to its own records.",4.2819,"provision, right, prosecution, offence, nexus, court, proceedings","[('Court', 'ORG')]"
20,"However, the bar under Section 195(1)(b)(ii) cannot be read as
operating even in cases where the offence against administration
of justice was committed in respect of a document
1) outside of the Court,
2) by a person who was not yet party to the Court proceedings,
and,
3) at a time long before the production of the document before
the Court.",4.4046,"Section, cases, offence, administration, justice, respect, document","[('Section 195(1)(b)(ii', 'LAW'), ('1', 'CARDINAL'), ('Court', 'ORG'), ('2', 'CARDINAL'), ('Court', 'ORG'), ('3', 'CARDINAL'), ('Court', 'ORG')]"
21,"The
prohibition contained in Section 195(1)(b)(i) should not be
extended to provide protection to a person who has been accused
of tendering false evidence during the investigative stage prior to
becoming a party to the court proceedings and producing such
evidence before the Court.",4.1761,"prohibition, Section, 195(1)(b)(i, protection, person, evidence, stage","[('Section 195(1)(b)(i', 'LAW'), ('Court', 'ORG')]"
21,"Since the respondents’
application under Section 340, CrPC was not disposed of, they
filed a criminal complaint for prosecuting the appellants under
Sections 192 and 193, as well as Sections 463 and 471, IPC.",3.9486,"respondents, application, Section, CrPC, complaint, appellants, Sections","[('Section 340', 'LAW'), ('CrPC', 'ORG'), ('192', 'CARDINAL'), ('193', 'CARDINAL'), ('471', 'CARDINAL'), ('IPC', 'ORG')]"
22,"However, it was noticed that Sachida Nand Singh appeared to
conflict with an earlier three­Judge Bench decision in Surjit
Singh and Others v. Balbir Singh, (1996) 3 SCC 533.",3.738,"Sachida, Nand, Singh, conflict, three­Judge, Bench, decision","[('Nand Singh', 'PERSON'), ('Bench', 'ORG'), ('Surjit', 'GPE'), ('Singh', 'GPE'), ('Others', 'PERSON'), ('Balbir Singh', 'PERSON'), ('1996', 'DATE'), ('3', 'CARDINAL')]"
22,"Surjit
Singh had held that the bar against taking cognizance under
Section 195(1)(b)(ii) would apply even if the offences stipulated
therein were committed prior to production of the document
before the Court, if such document was subsequently produced
before the Court.",4.1928,"Surjit, Singh, cognizance, Section, offences, production, document","[('Singh', 'GPE'), ('Court', 'ORG'), ('Court', 'ORG')]"
22,"that the offence should be
such which has direct bearing or affects the
functioning or discharge of lawful duties of a public
servant or has a direct correlation with the
proceedings in a court of justice, the expression
“when such offence is alleged to have been committed
in respect of a document produced or given in
evidence in a proceeding in any court” occurring in
clause (b)(ii) should normally mean commission of
such an offence after the document has actually been
produced or given in evidence in the court.",5.2762,"offence, bearing, functioning, discharge, duties, servant, correlation",[]
22,"The
situation or contingency where an offence as
enumerated in this clause has already been
committed earlier and later on the document is
produced or is given in evidence in court, does not
appear to be in tune with clauses (a)(i) and (b)(i) and
22",4.0745,"situation, contingency, offence, clause, document, evidence, court","[('22', 'CARDINAL')]"
23,"This indicates that clause (b)(ii) contemplates a
situation where the offences enumerated therein are
committed with respect to a document subsequent to
its production or giving in evidence in a proceeding in
any court.",3.833,"clause, b)(ii, situation, offences, respect, document, production",[]
23,"11…The fact that the procedure for filing a complaint
by court has been provided in Chapter XXVI dealing
with offences affecting administration of justice, is a
clear pointer to the legislative intent that the offence
committed should be of such type which directly
affects the administration of justice viz.",4.7061,"fact, procedure, complaint, court, Chapter, XXVI, offences","[('11', 'CARDINAL'), ('Chapter XXVI', 'LAW')]"
23,"Any offence committed with respect
to a document at a time prior to its production or
giving in evidence in court cannot, strictly speaking,
be said to be an offence affecting the administration
of justice.",3.8579,"offence, respect, document, time, production, giving, evidence",[]
23,"It will be useful to refer to some earlier decisions
touching the controversy in dispute which were
rendered on Section 195 of the Code of Criminal
Procedure, 1898 (for short “the old Code”)…
14.",3.9843,"decisions, controversy, dispute, Section, Code, Criminal, Procedure","[('Section 195 of the Code of Criminal\nProcedure,', 'LAW'), ('1898', 'DATE'), ('14', 'CARDINAL')]"
23,"[AIR 1931 All 443 : 32
Cri LJ 1105 (SB)] considered the scope of the
aforesaid provision and held, that clause (c) of Section
195(1) applies only to cases where an offence is
committed by a party, as such, to a proceeding to any
court in respect of a document which has been
produced or given in evidence in such proceeding.",5.0514,"scope, provision, clause, Section, cases, offence, party","[('AIR', 'ORG'), ('443', 'CARDINAL'), ('32', 'CARDINAL'), ('Cri LJ 1105', 'PERSON'), ('SB', 'ORG')]"
24,"in considerable detail observed that as a general rule
the courts consider it expedient in the interest of
justice to start prosecutions as contemplated by
Section 476 (of the old Code which now corresponds
to Section 340 CrPC) only if there is a reasonable
foundation for the charge and there is a reasonable
likelihood of conviction.",4.599,"detail, rule, courts, interest, justice, prosecutions, Section","[('Section 476', 'LAW'), ('Section 340 CrPC', 'LAW')]"
24,"The court approved
the view taken by the Allahabad High Court in
Emperor v. Kushal Pal Singh and held as under in
para 7 of the Report: (Patel Laljibhai Somabhai case",4.034,"court, view, Allahabad, High, Court, Emperor, Kushal","[('the Allahabad High Court', 'ORG'), ('Kushal Pal Singh', 'PERSON'), ('7', 'CARDINAL'), ('Laljibhai', 'GPE'), ('Somabhai', 'GPE')]"
24,"The underlying purpose of enacting Sections
195(1)(b) and (c) and Section 476 seems to be to
control the temptation on the part of the private
parties to start criminal prosecution on frivolous
vexations or insufficient grounds inspired by a
revengeful desire to harass or spite their opponents.",4.7558,"purpose, Sections, Section, temptation, parties, prosecution, vexations","[('Section 476', 'LAW')]"
25,"The facts as stated in
paras 1 and 11 of the Report show that a criminal
complaint was filed by the respondent under Sections
420, 467, 468, 471 read with 120­B IPC alleging that
the appellants had conspired and fabricated an
agreement dated 26­7­1978 and had forged the
signature of Smt Dalip Kaur and on the basis thereof,
they had made a claim to remain in possession of a
house.",5.9047,"facts, paras, Report, complaint, respondent, Sections, read","[('1', 'CARDINAL'), ('11', 'CARDINAL'), ('Sections', 'ORG'), ('420', 'CARDINAL'), ('467', 'DATE'), ('468', 'CARDINAL'), ('471', 'CARDINAL'), ('120\xadB', 'CARDINAL'), ('IPC', 'PERSON'), ('26\xad7\xad1978', 'CARDINAL'), ('Dalip Kaur', 'PERSON')]"
25,"[AIR 1950 PC 31: 51 Cri LJ 651]
and Sushil Kumar v. State of Haryana [1987 Supp
SCC 654: 1988 SCC (Cri) 136 : AIR 1988 SC 419]
wherein it has been held that the bar of Section 195
would not apply if the original document had not
been produced or given in evidence in court.",5.145,"Sushil, Kumar, State, Haryana, Supp, Section, document","[('AIR', 'ORG'), ('1950', 'DATE'), ('31', 'CARDINAL'), ('51', 'CARDINAL'), ('Sushil Kumar', 'PERSON'), ('Haryana', 'ORG'), ('1987', 'DATE'), ('Supp\nSCC 654', 'WORK_OF_ART'), ('1988', 'DATE'), ('136', 'CARDINAL'), ('AIR 1988', 'ORG'), ('419', 'CARDINAL'), ('Section 195', 'LAW')]"
25,"The observations therein should not
be understood as laying down anything contrary to
what has been held in Patel Laljibhai but was made
in the context that bar contained in Section 195(1)(b)
(ii) would not be attracted unless the original
document was filed.",4.1081,"observations, Patel, Laljibhai, context, Section, document","[('Patel Laljibhai', 'PERSON')]"
25,"It is for this reason that in the
very next paragraph, after observing that the
cognizance had been taken prior to filing of the civil
suit and the original agreement in court, the view
taken by the High Court that the Magistrate could
25",3.9021,"reason, paragraph, cognizance, filing, suit, agreement, court","[('the High Court', 'ORG'), ('Magistrate', 'ORG'), ('25', 'CARDINAL')]"
26,"Since the object of deletion of the words “by a
party to any proceeding in any court” occurring in
Section 195(1)(c) of the old Code is to afford
protection to witnesses also, the interpretation placed
on the said provision in the earlier decisions would
still hold good.",4.5127,"object, deletion, words, party, proceeding, court, Section","[('Section 195(1)(c', 'LAW')]"
26,"Section 195(1)(b)(ii) CrPC would be
attracted only when the offences enumerated in the
said provision have been committed with respect to a
document after it has been produced or given in
evidence in a proceeding in any court i.e. during the
time when the document was in custodia legis.”
(emphasis supplied)",4.4781,"Section, CrPC, offences, provision, respect, document, evidence","[('CrPC', 'ORG')]"
